a2a3 : ......191 moves, avg. D24, 095 counts/move
a2a4 : .......20 moves, avg. D01, 001 counts/move
b2b3 : .......33 moves, avg. D05, 012 counts/move
b2b4 : .......20 moves, avg. D01, 001 counts/move
c2c3 : .......26 moves, avg. D06, 017 counts/move
c2c4 : ...24 867 moves, avg. D51, 116 counts/move
d2d3 : .......29 moves, avg. D03, 009 counts/move
d2d4 : ..117 799 moves, avg. D52, 117 counts/move
e2e3 : .......32 moves, avg. D03, 008 counts/move
e2e4 : ..247 497 moves, avg. D40, 116 counts/move
f2f3 : ......686 moves, avg. D25, 089 counts/move
f2f4 : .......20 moves, avg. D01, 001 counts/move
g2g3 : ......158 moves, avg. D37, 102 counts/move
g2g4 : ....8 576 moves, avg. D23, 080 counts/move
h2h3 : ......668 moves, avg. D37, 090 counts/move
h2h4 : .......39 moves, avg. D14, 030 counts/move
b1a3 : ......124 moves, avg. D21, 034 counts/move
b1c3 : .......26 moves, avg. D04, 019 counts/move
g1f3 : ...46 680 moves, avg. D52, 117 counts/move
g1h3 : ......271 moves, avg. D26, 085 counts/move

Experience Rate : 25%
