f2f4 e7e5 f4e5                                                                                                : ....4 527 moves, avg. D29, 013 counts/move
g1f3 f7f5 e2e4                                                                                                : .......22 moves, avg. D02, 001 counts/move
d2d4 e7e5 d4e5 b8c6 g1f3 d8e7                                                                                 : .......32 moves, avg. D03, 002 counts/move
d2d4 f7f5 e2e4 f5e4 b1c3 g8f6                                                                                 : ......238 moves, avg. D30, 013 counts/move
e2e4 c7c5 b2b4 c5b4                                                                                           : .......30 moves, avg. D01, 001 counts/move
e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3                                                                            : ......802 moves, avg. D46, 014 counts/move
e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 b1c3                                                                            : ......335 moves, avg. D23, 021 counts/move
e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 g1f3                                                                            : .......12 moves, avg. D12, 004 counts/move
e2e4 e7e5 b1c3 g8f6 f1c4 f6e4 d1h5 e4d6 c4b3 b8c6 c3b5 g7g6 h5f3 f7f5                                         : ....2 337 moves, avg. D39, 032 counts/move
e2e4 e7e5 b1c3 g8f6 f2f4                                                                                      : .......35 moves, avg. D03, 002 counts/move
e2e4 e7e5 f2f4 d7d5 e4d5                                                                                      : .......39 moves, avg. D01, 001 counts/move
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4                                                                            : .......35 moves, avg. D02, 001 counts/move
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 e1g1 g4f3 d1f3                                                        : .......30 moves, avg. D02, 001 counts/move
e2e4 e7e5 g1f3 f7f5                                                                                           : .......38 moves, avg. D09, 005 counts/move
e2e4 e7e5 g1f3 d7d6 d2d4 f7f5                                                                                 : .......37 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f7 e8f7                                                                       : ......692 moves, avg. D33, 019 counts/move
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 c2c3 d4c3 b1c3                                                                  : ......533 moves, avg. D45, 019 counts/move
e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f3e5                                                                            : .......30 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 c6d4 f3e5 d8g5 c4f7                                                                  : ........2 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3                                                                  : ....3 165 moves, avg. D45, 017 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 f7f5                                                                                 : ......412 moves, avg. D32, 014 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 : 1 000 000 moves, avg. D46, 038 counts/move
d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3                                                                            : ......888 moves, avg. D40, 018 counts/move
d2d4 d7d5 c2c4 e7e5 d4e5 d5d4                                                                                 : .......43 moves, avg. D04, 002 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5                                                                       : ....1 473 moves, avg. D35, 013 counts/move

Experience Rate : 20%
