e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 b8c6 a2a3 b4a5 e4e5 g8e7                                                                                                     : .......52 moves, avg. D15, 002 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 e1g1 f8e7 f1e1 e8g8 c2c3 f6d7 d3d4 e7f6                                                                                 : .......53 moves, avg. D09, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 d7d6 b1c3 g7g6 e2e4 f8g7 h2h3 e8g8 f1d3 b8a6                                                                                 : .......38 moves, avg. D10, 002 counts/move
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f7 e8f7 d2d4 g7g6                                                                                                               : ......129 moves, avg. D24, 005 counts/move
c2c4 g8f6 b1c3 g7g6 g1f3 d7d5 c4d5 f6d5 h2h4 d5f6                                                                                                               : .......53 moves, avg. D11, 002 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 g2g4 h7h6 d1f3 d8c7                                                                                 : .......36 moves, avg. D03, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 f8e7 a2a3 e8g8 d1d2 b7b6 e1c1                                                                  : .......38 moves, avg. D06, 002 counts/move
e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 c1e3 a7a6 d1d2 b7b5 h2h4 h7h5 f2f3 g8f6 e1c1 b8c6                                                                                 : .......67 moves, avg. D15, 002 counts/move
d2d4 e7e6 c2c4 f8b4 c1d2 b4d2 d1d2 b7b6 b1c3 c8b7                                                                                                               : .......61 moves, avg. D14, 002 counts/move
e2e4 b7b6 d2d4 c8b7 f1d3 e7e6 g1f3 c7c5 c2c3 g8f6 d1e2                                                                                                          : ......357 moves, avg. D35, 040 counts/move
d2d4 g8f6 c2c4 g7g6 f2f3 f6h5                                                                                                                                   : .......68 moves, avg. D18, 002 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 c7c6                                                                                                                                   : ......190 moves, avg. D28, 007 counts/move
e2e4 d7d5 e4d5 d8d5 b1c3 d5d8 d2d4 g8f6 g1f3 c8g4 h2h3 g4f3 d1f3 c7c6 c1e3 e7e6                                                                                 : .......61 moves, avg. D08, 001 counts/move
d2d4 f7f5 h2h3 g8f6 g2g4 f5g4 h3g4 f6g4                                                                                                                         : .......29 moves, avg. D07, 001 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c6 c1g5 b8d7 e2e3 d8a5 c4d5 e6d5 f1d3 f8d6                                                                                 : .......73 moves, avg. D11, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6e8 c1e3 f7f5 f2f3 e8f6 a2a4 f5f4                                         : .......89 moves, avg. D19, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 d4b5 d7d6 c2c4 a7a6 b5c3 g8f6 f1e2 f8e7 e1g1 e8g8 b1a3 b7b6 c1e3 c8d7 a1c1 d8b8                                         : .......69 moves, avg. D13, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b8d7 d1d2 a7a6 e1c1 b7b5                                                                                 : .......46 moves, avg. D12, 002 counts/move
d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1e2 f8g7 e2g3 e8g8 f1e2 b7b6                                                                       : .......59 moves, avg. D19, 002 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8a6 d1c2 a6b7 b1c3 c7c5 e2e4 c5d4 f3d4 d7d6 f1e2 f8e7 c1e3 e8g8 e1c1 b8d7                                                   : .......74 moves, avg. D20, 002 counts/move
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 g8e7 g1f3 e7c6                                                                                                               : .......66 moves, avg. D16, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 d8b6 c3a4 b6a5 c2c3 b7b6                                                                       : ......106 moves, avg. D20, 011 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 f8b4 b1d2 b8d7 e1g1 b4a5                                                                                           : .......74 moves, avg. D15, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5 f6h5 d1d2 d8h4                                                                                 : ......534 moves, avg. D36, 043 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 d2d3 g8f6 e4f5 c6e7                                                                                                               : ......140 moves, avg. D28, 002 counts/move
d2d4 f7f5 g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 c2c4 d7d6 e1g1 e8g8 b1c3 b8c6 d4d5 c6e5 f3e5 d6e5 d1b3 h7h6                                                             : .......43 moves, avg. D09, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 f2f3 c7c5 d4d5 e7e6                                                                                                     : .......55 moves, avg. D11, 001 counts/move
d2d4 b7b5                                                                                                                                                       : .......28 moves, avg. D09, 001 counts/move
