e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d7d6 c1e3 g8f6 f2f4 f8e7 d1f3 e8g8 f1d3 d8c7 e1c1 c8d7 : .......45 moves, avg. D01, 001 counts/move
d2d4 e7e6 c2c4 b7b6 e2e4 c8b7 f2f3 g8h6 f1d3 f7f5 b1c3 f8b4 d1e2 b8c6 c1e3 e8g8 e1c1 f5f4 e3f2 b4c3 : .......29 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3 c7c5 c2c3 b8c6 e1g1 d8c7 b1d2 c8d7 d1e2 e8c8 d4c5 f8c5 b2b4 c5d6 : .......35 moves, avg. D01, 001 counts/move
d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 e8g8 h2h3 e7e5 d4d5 b8a6 c1e3 f6h5 d1c2 f7f5 e1c1 a6b4 : .......44 moves, avg. D01, 001 counts/move
e2e4 e7e5 d2d4 e5d4 d1d4 b8c6 d4e3 g8f6 b1c3 f8b4 c1d2 e8g8 e1c1 f8e8 f1c4 c6e5 c4e2 d7d6 h2h3 c8e6 : .......36 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1f4 c7c6 d1d2 b8d7 g1f3 d8a5 f1d3 f8g7 e1c1 e7e5 f4h6 e8g8 c1b1 e5d4 : .......43 moves, avg. D01, 001 counts/move
d2d4 g8f6 g1f3 e7e6 c1g5 h7h6 g5f6 d8f6 e2e4 d7d6 b1c3 b8d7 d1d2 a7a6 e1c1 f6d8 f3e1 f8e7 f1e2 e8g8 : .......27 moves, avg. D03, 005 counts/move
e2e4 e7e6 d1e2 f8e7 b2b3 d7d5 c1b2 g8f6 e4d5 d8d5 b1c3 d5a5 g1f3 e8g8 f3e5 b8d7 e5c4 a5f5 e1c1 b7b6 : .......36 moves, avg. D01, 001 counts/move
d2d4 e7e6 e2e4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 g1f3 e8g8 d1d3 b8d7 e1c1 f6e7 h2h4 b7b6 : .......38 moves, avg. D14, 022 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 h7h6 c1f4 f8e7 e2e3 f6h5 f4g3 e8g8 d1c2 d7d6 e1c1 b8d7 : .......43 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d3 g8f6 g2g3 d7d5 b1d2 d5e4 d3e4 f8c5 d1e2 e6e5 d2b3 c5d6 c1d2 b7b6 e1c1 d8e7 d2c3 e8g8 : .......40 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 f8e7 c1e3 b8c6 d1d2 e8g8 d4c5 d8a5 e1c1 e7c5 : .......85 moves, avg. D15, 009 counts/move
e2e4 g8f6 b1c3 e7e5 g1f3 b8c6 g2g3 f8c5 f1g2 d7d6 d2d3 a7a6 e1g1 c8g4 c1e3 c5e3 f2e3 d8d7 d1d2 e8c8 : .......37 moves, avg. D02, 004 counts/move
