a2a3 a7a5 : ......355 moves, avg. D24, 112 counts/move
a2a3 a7a6 : ......302 moves, avg. D31, 111 counts/move
a2a3 b7b5 : ......360 moves, avg. D27, 114 counts/move
a2a3 b7b6 : ......213 moves, avg. D29, 112 counts/move
a2a3 c7c5 : ...42 164 moves, avg. D07, 121 counts/move
a2a3 c7c6 : ......261 moves, avg. D26, 110 counts/move
a2a3 b8a6 : ......376 moves, avg. D23, 110 counts/move
a2a3 b8c6 : ......154 moves, avg. D27, 123 counts/move
a2a3 g8f6 : ....8 436 moves, avg. D30, 102 counts/move
a2a3 g8h6 : ......203 moves, avg. D28, 106 counts/move
a2a3 d7d5 : ...18 939 moves, avg. D09, 113 counts/move
a2a3 d7d6 : ......166 moves, avg. D35, 105 counts/move
a2a3 e7e5 : ...26 457 moves, avg. D07, 115 counts/move
a2a3 e7e6 : ......645 moves, avg. D41, 116 counts/move
a2a3 f7f5 : ......185 moves, avg. D24, 103 counts/move
a2a3 f7f6 : ......575 moves, avg. D25, 112 counts/move
a2a3 g7g5 : ......724 moves, avg. D23, 113 counts/move
a2a3 g7g6 : ....4 401 moves, avg. D13, 120 counts/move
a2a3 h7h5 : ......611 moves, avg. D27, 117 counts/move
a2a3 h7h6 : ......215 moves, avg. D29, 105 counts/move
a2a4 a7a5 : ......181 moves, avg. D23, 102 counts/move
a2a4 a7a6 : ......210 moves, avg. D21, 095 counts/move
a2a4 b7b5 : ....4 499 moves, avg. D24, 118 counts/move
a2a4 b7b6 : ......151 moves, avg. D21, 091 counts/move
a2a4 c7c5 : ......454 moves, avg. D30, 113 counts/move
a2a4 c7c6 : ......305 moves, avg. D30, 110 counts/move
a2a4 b8a6 : ......179 moves, avg. D25, 105 counts/move
a2a4 b8c6 : ....1 297 moves, avg. D30, 110 counts/move
a2a4 g8f6 : ...30 150 moves, avg. D07, 120 counts/move
a2a4 g8h6 : ......189 moves, avg. D22, 101 counts/move
a2a4 d7d5 : ...15 440 moves, avg. D11, 121 counts/move
a2a4 d7d6 : ......245 moves, avg. D27, 107 counts/move
a2a4 e7e5 : ....3 031 moves, avg. D10, 114 counts/move
a2a4 e7e6 : ......151 moves, avg. D32, 102 counts/move
a2a4 f7f5 : ......240 moves, avg. D27, 107 counts/move
a2a4 f7f6 : ......204 moves, avg. D20, 097 counts/move
a2a4 g7g5 : ......205 moves, avg. D22, 109 counts/move
a2a4 g7g6 : ......238 moves, avg. D29, 108 counts/move
a2a4 h7h5 : ......234 moves, avg. D26, 108 counts/move
a2a4 h7h6 : ......192 moves, avg. D28, 100 counts/move
b2b3 a7a5 : ......188 moves, avg. D27, 103 counts/move
b2b3 a7a6 : ......169 moves, avg. D29, 105 counts/move
b2b3 b7b5 : ......179 moves, avg. D27, 104 counts/move
b2b3 b7b6 : ......648 moves, avg. D32, 106 counts/move
b2b3 c7c5 : ....9 996 moves, avg. D36, 102 counts/move
b2b3 c7c6 : ......267 moves, avg. D24, 107 counts/move
b2b3 b8a6 : ......151 moves, avg. D25, 123 counts/move
b2b3 b8c6 : ....5 785 moves, avg. D10, 105 counts/move
b2b3 g8f6 : ...14 617 moves, avg. D20, 110 counts/move
b2b3 g8h6 : ......334 moves, avg. D24, 113 counts/move
b2b3 d7d5 : ...13 583 moves, avg. D20, 107 counts/move
b2b3 d7d6 : ......815 moves, avg. D35, 102 counts/move
b2b3 e7e5 : ....8 331 moves, avg. D12, 107 counts/move
b2b3 e7e6 : ....8 627 moves, avg. D12, 116 counts/move
b2b3 f7f5 : ......216 moves, avg. D26, 105 counts/move
b2b3 f7f6 : ......227 moves, avg. D22, 107 counts/move
b2b3 g7g5 : ......188 moves, avg. D24, 105 counts/move
b2b3 g7g6 : ....3 955 moves, avg. D29, 101 counts/move
b2b3 h7h5 : ......191 moves, avg. D23, 090 counts/move
b2b3 h7h6 : ......171 moves, avg. D34, 106 counts/move
b2b4 a7a5 : ......182 moves, avg. D33, 105 counts/move
b2b4 a7a6 : ......354 moves, avg. D34, 114 counts/move
b2b4 b7b5 : ......172 moves, avg. D28, 104 counts/move
b2b4 b7b6 : ......187 moves, avg. D31, 102 counts/move
b2b4 c7c5 : ......234 moves, avg. D29, 110 counts/move
b2b4 c7c6 : ......216 moves, avg. D25, 098 counts/move
b2b4 b8a6 : ......180 moves, avg. D30, 109 counts/move
b2b4 b8c6 : ......178 moves, avg. D24, 107 counts/move
b2b4 g8f6 : ....5 337 moves, avg. D11, 119 counts/move
b2b4 g8h6 : ......286 moves, avg. D25, 112 counts/move
b2b4 d7d5 : ...23 523 moves, avg. D08, 114 counts/move
b2b4 d7d6 : ....1 182 moves, avg. D33, 120 counts/move
b2b4 e7e5 : ...25 436 moves, avg. D08, 114 counts/move
b2b4 e7e6 : ......222 moves, avg. D37, 099 counts/move
b2b4 f7f5 : ......251 moves, avg. D26, 108 counts/move
b2b4 f7f6 : ......187 moves, avg. D26, 100 counts/move
b2b4 g7g5 : ......154 moves, avg. D26, 123 counts/move
b2b4 g7g6 : ......301 moves, avg. D27, 109 counts/move
b2b4 h7h5 : ......261 moves, avg. D35, 110 counts/move
b2b4 h7h6 : ......208 moves, avg. D25, 103 counts/move
c2c3 a7a5 : ......187 moves, avg. D22, 102 counts/move
