a2a3 a7a5 : .......19 moves, avg. D01, 001 counts/move
a2a3 a7a6 : .......19 moves, avg. D01, 001 counts/move
a2a3 b7b5 : .......19 moves, avg. D01, 001 counts/move
a2a3 b7b6 : .......19 moves, avg. D01, 001 counts/move
a2a3 c7c5 : ......190 moves, avg. D24, 095 counts/move
a2a3 c7c6 : .......19 moves, avg. D01, 001 counts/move
a2a3 b8a6 : .......19 moves, avg. D01, 001 counts/move
a2a3 b8c6 : .......19 moves, avg. D01, 001 counts/move
a2a3 g8f6 : .......19 moves, avg. D01, 001 counts/move
a2a3 g8h6 : .......19 moves, avg. D01, 001 counts/move
a2a3 d7d5 : .......19 moves, avg. D01, 001 counts/move
a2a3 d7d6 : .......19 moves, avg. D01, 001 counts/move
a2a3 e7e5 : .......19 moves, avg. D01, 001 counts/move
a2a3 e7e6 : .......19 moves, avg. D01, 001 counts/move
a2a3 f7f5 : .......19 moves, avg. D01, 001 counts/move
a2a3 f7f6 : .......19 moves, avg. D01, 001 counts/move
a2a3 g7g5 : .......19 moves, avg. D01, 001 counts/move
a2a3 g7g6 : .......19 moves, avg. D01, 001 counts/move
a2a3 h7h5 : .......19 moves, avg. D01, 001 counts/move
a2a3 h7h6 : .......19 moves, avg. D01, 001 counts/move
a2a4 a7a5 : .......20 moves, avg. D01, 001 counts/move
a2a4 a7a6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b7b5 : .......22 moves, avg. D01, 001 counts/move
a2a4 b7b6 : .......21 moves, avg. D01, 001 counts/move
a2a4 c7c5 : .......21 moves, avg. D01, 001 counts/move
a2a4 c7c6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b8a6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b8c6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g8f6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g8h6 : .......21 moves, avg. D01, 001 counts/move
a2a4 d7d5 : .......21 moves, avg. D01, 001 counts/move
a2a4 d7d6 : .......21 moves, avg. D01, 001 counts/move
a2a4 e7e5 : .......22 moves, avg. D02, 006 counts/move
a2a4 e7e6 : .......21 moves, avg. D01, 001 counts/move
a2a4 f7f5 : .......21 moves, avg. D01, 001 counts/move
a2a4 f7f6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g7g5 : .......21 moves, avg. D01, 001 counts/move
a2a4 g7g6 : .......21 moves, avg. D01, 001 counts/move
a2a4 h7h5 : .......21 moves, avg. D01, 001 counts/move
a2a4 h7h6 : .......21 moves, avg. D01, 001 counts/move
b2b3 a7a5 : .......21 moves, avg. D01, 001 counts/move
b2b3 a7a6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b7b5 : .......21 moves, avg. D01, 001 counts/move
b2b3 b7b6 : .......21 moves, avg. D01, 001 counts/move
b2b3 c7c5 : .......21 moves, avg. D01, 001 counts/move
b2b3 c7c6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b8a6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b8c6 : .......21 moves, avg. D01, 001 counts/move
b2b3 g8f6 : .......21 moves, avg. D01, 001 counts/move
b2b3 g8h6 : .......21 moves, avg. D01, 001 counts/move
b2b3 d7d5 : .......22 moves, avg. D03, 006 counts/move
b2b3 d7d6 : .......21 moves, avg. D01, 001 counts/move
b2b3 e7e5 : .......32 moves, avg. D04, 008 counts/move
b2b3 e7e6 : .......22 moves, avg. D02, 006 counts/move
b2b3 f7f5 : .......21 moves, avg. D01, 001 counts/move
b2b3 f7f6 : .......21 moves, avg. D01, 001 counts/move
b2b3 g7g5 : .......21 moves, avg. D01, 001 counts/move
b2b3 g7g6 : .......21 moves, avg. D01, 001 counts/move
b2b3 h7h5 : .......21 moves, avg. D01, 001 counts/move
b2b3 h7h6 : .......21 moves, avg. D01, 001 counts/move
b2b4 a7a5 : .......22 moves, avg. D01, 001 counts/move
b2b4 a7a6 : .......21 moves, avg. D01, 001 counts/move
b2b4 b7b5 : .......20 moves, avg. D01, 001 counts/move
b2b4 b7b6 : .......21 moves, avg. D01, 001 counts/move
b2b4 c7c5 : .......22 moves, avg. D01, 001 counts/move
b2b4 c7c6 : .......21 moves, avg. D01, 001 counts/move
