a2a3 a7a5 : .......22 moves, avg. D04, 005 counts/move
a2a3 a7a6 : .......22 moves, avg. D09, 011 counts/move
a2a3 b7b5 : .......23 moves, avg. D06, 007 counts/move
a2a3 b7b6 : .......22 moves, avg. D04, 006 counts/move
a2a3 c7c5 : ......117 moves, avg. D25, 032 counts/move
a2a3 c7c6 : .......19 moves, avg. D01, 001 counts/move
a2a3 b8a6 : .......19 moves, avg. D01, 001 counts/move
a2a3 b8c6 : .......19 moves, avg. D01, 001 counts/move
a2a3 g8f6 : .......74 moves, avg. D18, 015 counts/move
a2a3 g8h6 : .......19 moves, avg. D01, 001 counts/move
a2a3 d7d5 : ......179 moves, avg. D29, 025 counts/move
a2a3 d7d6 : .......19 moves, avg. D01, 001 counts/move
a2a3 e7e5 : ....1 876 moves, avg. D31, 025 counts/move
a2a3 e7e6 : .......25 moves, avg. D07, 007 counts/move
a2a3 f7f5 : .......19 moves, avg. D01, 001 counts/move
a2a3 f7f6 : .......19 moves, avg. D01, 001 counts/move
a2a3 g7g5 : .......19 moves, avg. D01, 001 counts/move
a2a3 g7g6 : ......147 moves, avg. D21, 011 counts/move
a2a3 h7h5 : .......19 moves, avg. D01, 001 counts/move
a2a3 h7h6 : .......19 moves, avg. D01, 001 counts/move
a2a4 a7a5 : .......20 moves, avg. D01, 001 counts/move
a2a4 a7a6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b7b5 : .......22 moves, avg. D01, 001 counts/move
a2a4 b7b6 : .......21 moves, avg. D01, 001 counts/move
a2a4 c7c5 : .......21 moves, avg. D01, 001 counts/move
a2a4 c7c6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b8a6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b8c6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g8f6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g8h6 : .......21 moves, avg. D01, 001 counts/move
a2a4 d7d5 : .......22 moves, avg. D02, 003 counts/move
a2a4 d7d6 : .......21 moves, avg. D01, 001 counts/move
a2a4 e7e5 : .......21 moves, avg. D01, 001 counts/move
a2a4 e7e6 : .......21 moves, avg. D01, 001 counts/move
a2a4 f7f5 : .......21 moves, avg. D01, 001 counts/move
a2a4 f7f6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g7g5 : .......21 moves, avg. D01, 001 counts/move
a2a4 g7g6 : .......21 moves, avg. D01, 001 counts/move
a2a4 h7h5 : .......21 moves, avg. D01, 001 counts/move
a2a4 h7h6 : .......21 moves, avg. D01, 001 counts/move
b2b3 a7a5 : .......21 moves, avg. D01, 001 counts/move
b2b3 a7a6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b7b5 : .......21 moves, avg. D01, 001 counts/move
b2b3 b7b6 : .......27 moves, avg. D08, 003 counts/move
b2b3 c7c5 : ...27 016 moves, avg. D36, 027 counts/move
b2b3 c7c6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b8a6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b8c6 : .......21 moves, avg. D01, 001 counts/move
b2b3 g8f6 : .......22 moves, avg. D02, 004 counts/move
b2b3 g8h6 : .......21 moves, avg. D01, 001 counts/move
b2b3 d7d5 : ......668 moves, avg. D30, 012 counts/move
b2b3 d7d6 : .......21 moves, avg. D01, 001 counts/move
b2b3 e7e5 : ......901 moves, avg. D31, 012 counts/move
b2b3 e7e6 : ..141 482 moves, avg. D33, 027 counts/move
b2b3 f7f5 : .......21 moves, avg. D01, 001 counts/move
b2b3 f7f6 : .......21 moves, avg. D01, 001 counts/move
b2b3 g7g5 : .......21 moves, avg. D01, 001 counts/move
b2b3 g7g6 : .......21 moves, avg. D01, 001 counts/move
b2b3 h7h5 : .......21 moves, avg. D01, 001 counts/move
b2b3 h7h6 : .......21 moves, avg. D01, 001 counts/move
b2b4 a7a5 : .......22 moves, avg. D01, 001 counts/move
b2b4 a7a6 : .......21 moves, avg. D01, 001 counts/move
b2b4 b7b5 : .......20 moves, avg. D01, 001 counts/move
b2b4 b7b6 : .......21 moves, avg. D01, 001 counts/move
b2b4 c7c5 : .......22 moves, avg. D01, 001 counts/move
b2b4 c7c6 : .......21 moves, avg. D01, 001 counts/move
b2b4 b8a6 : .......21 moves, avg. D01, 001 counts/move
b2b4 b8c6 : .......21 moves, avg. D01, 001 counts/move
b2b4 g8f6 : .......21 moves, avg. D01, 001 counts/move
b2b4 g8h6 : .......21 moves, avg. D01, 001 counts/move
b2b4 d7d5 : .......21 moves, avg. D01, 001 counts/move
b2b4 d7d6 : .......21 moves, avg. D01, 001 counts/move
b2b4 e7e5 : ......211 moves, avg. D29, 007 counts/move
b2b4 e7e6 : .......21 moves, avg. D01, 001 counts/move
b2b4 f7f5 : .......21 moves, avg. D01, 001 counts/move
b2b4 f7f6 : .......21 moves, avg. D01, 001 counts/move
b2b4 g7g5 : .......21 moves, avg. D01, 001 counts/move
b2b4 g7g6 : .......21 moves, avg. D01, 001 counts/move
b2b4 h7h5 : .......21 moves, avg. D01, 001 counts/move
b2b4 h7h6 : .......21 moves, avg. D01, 001 counts/move
c2c3 a7a5 : .......21 moves, avg. D01, 001 counts/move
c2c3 a7a6 : .......21 moves, avg. D01, 001 counts/move
c2c3 b7b5 : .......21 moves, avg. D01, 001 counts/move
c2c3 b7b6 : .......21 moves, avg. D01, 001 counts/move
c2c3 c7c5 : ....5 392 moves, avg. D32, 015 counts/move
c2c3 c7c6 : .......21 moves, avg. D01, 001 counts/move
c2c3 b8a6 : .......21 moves, avg. D01, 001 counts/move
c2c3 b8c6 : .......21 moves, avg. D01, 001 counts/move
c2c3 g8f6 : ....2 290 moves, avg. D30, 018 counts/move
c2c3 g8h6 : .......21 moves, avg. D01, 001 counts/move
c2c3 d7d5 : ....1 093 moves, avg. D29, 019 counts/move
c2c3 d7d6 : .......21 moves, avg. D01, 001 counts/move
c2c3 e7e5 : .......96 moves, avg. D20, 006 counts/move
c2c3 e7e6 : ....2 007 moves, avg. D29, 025 counts/move
c2c3 f7f5 : .......21 moves, avg. D01, 001 counts/move
c2c3 f7f6 : .......22 moves, avg. D03, 007 counts/move
c2c3 g7g5 : .......21 moves, avg. D01, 001 counts/move
c2c3 g7g6 : .......21 moves, avg. D01, 001 counts/move
