a2a3 a7a5 : .......22 moves, avg. D04, 005 counts/move
a2a3 a7a6 : .......22 moves, avg. D09, 011 counts/move
a2a3 b7b5 : .......23 moves, avg. D06, 007 counts/move
a2a3 b7b6 : .......22 moves, avg. D04, 006 counts/move
a2a3 c7c5 : ......748 moves, avg. D41, 022 counts/move
a2a3 c7c6 : .......20 moves, avg. D03, 003 counts/move
a2a3 b8a6 : .......19 moves, avg. D01, 001 counts/move
a2a3 b8c6 : .......19 moves, avg. D01, 001 counts/move
a2a3 g8f6 : ....2 087 moves, avg. D46, 018 counts/move
a2a3 g8h6 : .......19 moves, avg. D01, 001 counts/move
a2a3 d7d5 : ....4 383 moves, avg. D47, 019 counts/move
a2a3 d7d6 : .......19 moves, avg. D01, 001 counts/move
a2a3 e7e5 : ....7 735 moves, avg. D61, 017 counts/move
a2a3 e7e6 : .......27 moves, avg. D09, 009 counts/move
a2a3 f7f5 : .......19 moves, avg. D01, 001 counts/move
a2a3 f7f6 : .......19 moves, avg. D01, 001 counts/move
a2a3 g7g5 : .......19 moves, avg. D01, 001 counts/move
a2a3 g7g6 : ......219 moves, avg. D29, 014 counts/move
a2a3 h7h5 : .......19 moves, avg. D01, 001 counts/move
a2a3 h7h6 : .......19 moves, avg. D01, 001 counts/move
a2a4 a7a5 : .......20 moves, avg. D01, 001 counts/move
a2a4 a7a6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b7b5 : .......22 moves, avg. D01, 001 counts/move
a2a4 b7b6 : .......23 moves, avg. D04, 002 counts/move
a2a4 c7c5 : .......21 moves, avg. D01, 001 counts/move
a2a4 c7c6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b8a6 : .......21 moves, avg. D01, 001 counts/move
a2a4 b8c6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g8f6 : ...81 813 moves, avg. D46, 019 counts/move
a2a4 g8h6 : .......21 moves, avg. D01, 001 counts/move
a2a4 d7d5 : ......261 moves, avg. D37, 013 counts/move
a2a4 d7d6 : .......21 moves, avg. D01, 001 counts/move
a2a4 e7e5 : ....3 626 moves, avg. D47, 023 counts/move
a2a4 e7e6 : .......33 moves, avg. D04, 002 counts/move
a2a4 f7f5 : .......21 moves, avg. D01, 001 counts/move
a2a4 f7f6 : .......21 moves, avg. D01, 001 counts/move
a2a4 g7g5 : .......21 moves, avg. D01, 001 counts/move
a2a4 g7g6 : .......92 moves, avg. D29, 009 counts/move
a2a4 h7h5 : .......21 moves, avg. D01, 001 counts/move
a2a4 h7h6 : .......21 moves, avg. D01, 001 counts/move
b2b3 a7a5 : .......21 moves, avg. D01, 001 counts/move
b2b3 a7a6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b7b5 : .......21 moves, avg. D01, 001 counts/move
b2b3 b7b6 : ......190 moves, avg. D31, 012 counts/move
b2b3 c7c5 : ..133 864 moves, avg. D43, 025 counts/move
b2b3 c7c6 : ......101 moves, avg. D27, 010 counts/move
b2b3 b8a6 : .......21 moves, avg. D01, 001 counts/move
b2b3 b8c6 : .......21 moves, avg. D01, 001 counts/move
b2b3 g8f6 : 1 000 000 moves, avg. D39, 026 counts/move
b2b3 g8h6 : .......21 moves, avg. D01, 001 counts/move
b2b3 d7d5 : ....4 028 moves, avg. D45, 015 counts/move
b2b3 d7d6 : .......21 moves, avg. D01, 001 counts/move
b2b3 e7e5 : ....7 537 moves, avg. D47, 018 counts/move
b2b3 e7e6 : 1 000 000 moves, avg. D36, 025 counts/move
b2b3 f7f5 : ......283 moves, avg. D32, 014 counts/move
b2b3 f7f6 : .......21 moves, avg. D01, 001 counts/move
b2b3 g7g5 : .......21 moves, avg. D01, 001 counts/move
b2b3 g7g6 : .......21 moves, avg. D01, 001 counts/move
b2b3 h7h5 : .......21 moves, avg. D01, 001 counts/move
b2b3 h7h6 : .......21 moves, avg. D01, 001 counts/move
b2b4 a7a5 : .......22 moves, avg. D01, 001 counts/move
b2b4 a7a6 : .......21 moves, avg. D01, 001 counts/move
b2b4 b7b5 : .......20 moves, avg. D01, 001 counts/move
b2b4 b7b6 : .......21 moves, avg. D01, 001 counts/move
b2b4 c7c5 : .......22 moves, avg. D01, 001 counts/move
b2b4 c7c6 : .......21 moves, avg. D01, 001 counts/move
b2b4 b8a6 : .......21 moves, avg. D01, 001 counts/move
b2b4 b8c6 : .......21 moves, avg. D01, 001 counts/move
b2b4 g8f6 : ......737 moves, avg. D42, 016 counts/move
b2b4 g8h6 : .......21 moves, avg. D01, 001 counts/move
b2b4 d7d5 : ....1 044 moves, avg. D43, 016 counts/move
b2b4 d7d6 : .......21 moves, avg. D01, 001 counts/move
b2b4 e7e5 : ......213 moves, avg. D31, 009 counts/move
b2b4 e7e6 : .......21 moves, avg. D01, 001 counts/move
b2b4 f7f5 : .......21 moves, avg. D01, 001 counts/move
b2b4 f7f6 : .......21 moves, avg. D01, 001 counts/move
b2b4 g7g5 : .......21 moves, avg. D01, 001 counts/move
b2b4 g7g6 : .......21 moves, avg. D01, 001 counts/move
b2b4 h7h5 : .......21 moves, avg. D01, 001 counts/move
b2b4 h7h6 : .......21 moves, avg. D01, 001 counts/move
c2c3 a7a5 : .......21 moves, avg. D01, 001 counts/move
c2c3 a7a6 : .......21 moves, avg. D01, 001 counts/move
c2c3 b7b5 : .......21 moves, avg. D01, 001 counts/move
c2c3 b7b6 : .......21 moves, avg. D01, 001 counts/move
c2c3 c7c5 : ....8 583 moves, avg. D37, 018 counts/move
c2c3 c7c6 : .......22 moves, avg. D03, 004 counts/move
c2c3 b8a6 : .......21 moves, avg. D01, 001 counts/move
c2c3 b8c6 : .......21 moves, avg. D01, 001 counts/move
c2c3 g8f6 : 1 000 000 moves, avg. D41, 027 counts/move
c2c3 g8h6 : .......21 moves, avg. D01, 001 counts/move
c2c3 d7d5 : 1 000 000 moves, avg. D42, 027 counts/move
c2c3 d7d6 : .......21 moves, avg. D01, 001 counts/move
c2c3 e7e5 : ....3 235 moves, avg. D49, 022 counts/move
c2c3 e7e6 : 1 000 000 moves, avg. D51, 021 counts/move
c2c3 f7f5 : .......22 moves, avg. D04, 002 counts/move
c2c3 f7f6 : .......22 moves, avg. D03, 007 counts/move
c2c3 g7g5 : .......21 moves, avg. D01, 001 counts/move
