d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 c1f4 g8f6 e2e3 e8g8                               : ....7 914 moves, avg. D46, 028 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6                               : ...29 811 moves, avg. D47, 044 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 e8g8                               : ..863 303 moves, avg. D43, 055 counts/move
d2d4 d7d5 g1f3 e7e6 c2c4 g8f6 b1c3 f8b4 e2e3 e8g8                               : ......431 moves, avg. D31, 045 counts/move
d2d4 d7d5 g1f3 e7e6 c2c4 g8f6 b1c3 f8b4 c1g5 b8d7                               : .......33 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 b8d7                               : ......710 moves, avg. D31, 008 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7                               : ......779 moves, avg. D29, 019 counts/move
d2d4 g8f6 c2c4 c7c6 c1f4 d7d5 e2e3 e7e6 g1f3 f8d6                               : .......36 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4                               : ....9 008 moves, avg. D33, 045 counts/move
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8b4 f1g2 e8g8                               : .......73 moves, avg. D18, 018 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5                               : ....1 439 moves, avg. D34, 032 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 e6d5                               : ......859 moves, avg. D29, 010 counts/move
d2d4 g8f6 c2c4 c7c6 c1f4 d7d5 e2e3 e7e6 a2a3 b8d7                               : .......38 moves, avg. D01, 001 counts/move
